Day,Mean_Price,Upper_Bound,Lower_Bound
0,24696.0,24696.0,24696.0
1,24744.38864216187,25360.966153636098,24304.168896884254
2,24807.066610406426,25720.516765203414,24095.601425141584
3,24841.0390995361,25943.177939911337,23975.961993589437
4,24871.65955257182,26170.869450816026,23797.674041815306
5,24888.411038735965,26306.11690457229,23684.600551202875
6,24924.86727651615,26444.369360851193,23599.31542705867
7,24957.666467081046,26669.072003525613,23511.6832634062
8,25011.59076553789,26898.991732534425,23521.94092764647
9,25064.46717932124,27041.608879237498,23453.78157504058
10,25103.64302918759,27145.509235011978,23400.549393447505
11,25154.51847291854,27246.654054036826,23360.134289318336
12,25196.862076542457,27431.742656403552,23342.635856974262
13,25236.323304543872,27532.953650040345,23259.485929590974
14,25270.237282684175,27598.20775730605,23224.95119230492
15,25294.42646546976,27674.638428694787,23189.60953356798
16,25352.2849832876,27846.573395288808,23227.73622208386
17,25403.594598840045,27928.86680704205,23142.140266946433
18,25427.364776337774,28139.39860391375,23143.83166759863
19,25488.21040774934,28262.17882044688,23093.357888461767
20,25524.468913668064,28281.8117613514,23028.449983803916
21,25567.34536562117,28492.063028384804,22972.336846484683
22,25608.851573542117,28597.334648832373,22855.84346766518
23,25653.511550033996,28683.044755623952,22929.716375961398
24,25698.53759601315,28857.214549632372,22923.470292789978
25,25739.108307914285,28924.61858019603,22829.21093844819
26,25793.335793787635,29018.908212199898,22863.28031496882
27,25861.943482201863,29106.28494527034,22934.9734867864
28,25898.4110392059,29185.75044449123,22854.5753278892
29,25935.975568453203,29294.996322361727,22910.60436553044
30,25980.366537009904,29503.790490176296,22935.285348803616
31,26015.969745201968,29612.92490401296,22876.499292931345
32,26055.964013608424,29754.54748405544,22827.6135750566
33,26099.549033141142,29853.661101716334,22927.924018808346
34,26143.730433855122,29955.67014913054,22897.767592886194
35,26193.964305735557,30079.75509298133,22953.89276084777
36,26249.288796247994,30181.24302979126,22963.859276680687
37,26292.477379741562,30281.74572937181,22956.23204869762
38,26358.560616312916,30436.94900819603,22965.14537996371
39,26426.28666069979,30572.962094419054,23004.581354862177
40,26476.51110203564,30708.048177255965,22971.12007946761
41,26524.690858540802,30768.917590015062,22927.246440988663
42,26595.075719824767,30893.323675828153,22959.448677573975
43,26656.221827852598,30926.923011967036,22993.82875084418
44,26689.716815652137,31096.419109086615,23013.69303257905
45,26748.750321458567,31326.055671306167,23026.037212999003
46,26773.96829915689,31537.425690810807,22968.93104328968
47,26817.673972197023,31657.66903662897,22830.31271148766
48,26843.42781322058,31565.767094151637,22928.035079701298
49,26893.159570005595,31642.79600897278,22915.43100182487
50,26937.380022389378,31591.93588268422,22973.581425293258
51,26971.662012591118,31731.193858852657,22988.57258656104
52,27026.58410789019,31895.570725557278,22931.1435699337
53,27086.797206334493,32060.044843945663,22851.419779131284
54,27117.113497441114,32249.922044616113,22943.099953187524
55,27157.35005546744,32253.07057776583,22906.706513363177
56,27198.870133377302,32400.169399950963,22913.344383469106
57,27248.96033338033,32400.955622335037,22962.06133342722
58,27312.882579157686,32423.98216707271,22984.646419469267
59,27364.928088925455,32621.452949973038,22921.611690764974
60,27410.99335244711,32525.88372048928,22901.985500617728
